Time,No. of collectors,Species,FruitRipe.g,FruitRipe.num,FruitUnripe.g,SeedRipe.g,SeedRipe.num,SeedUnripe.g,SeedUnripe.num,果实附属物.g,果实碎片.num,Leaf.g,Flower.g
2012.05.14,NGS001,00na,,,,,,,,,,3.58,
2012.05.14,NGS002,00na,,,,,,,,,,0.5,
2012.05.14,NGS003,00na,,,,,,,,,,3.43,
2012.05.14,NGS004,00na,,,,,,,,,,0.99,
2012.05.14,NGS005,00na,,,,,,,,,,4.32,
2012.05.14,NGS006,00na,,,,,,,,,,1.09,
2012.05.14,NGS007,00na,,,,,,,,,,2.63,
2012.05.14,NGS008,00na,,,,,,,,,,1.49,
2012.05.14,NGS009,00na,,,,,,,,,,0,
2012.05.14,NGS010,00na,,,,,,,,,,4.55,
2012.05.14,NGS011,00na,,,,,,,,,,3.18,
2012.05.14,NGS012,00na,,,,,,,,,,0.29,
2012.05.14,NGS013,00na,,,,,,,,,,3.31,
2012.05.14,NGS014,00na,,,,,,,,,,0.4,
2012.05.14,NGS015,00na,,,,,,,,,,3.68,
2012.05.14,NGS016,00na,,,,,,,,,,3.86,
2012.05.14,NGS017,00na,,,,,,,,,,6,
2012.05.14,NGS018,00na,,,,,,,,,,2.84,
2012.05.14,NGS019,00na,,,,,,,,,,3.08,
2012.05.14,NGS020,00na,,,,,,,,,,1.14,
2012.05.14,NGS021,00na,,,,,,,,,,4.99,
2012.05.14,NGS022,00na,,,,,,,,,,3.91,
2012.05.14,NGS023,00na,,,,,,,,,,1.28,
2012.05.14,NGS024,00na,,,,,,,,,,1.9,
2012.05.14,NGS025,00na,,,,,,,,,,1.12,
2012.05.14,NGS026,00na,,,,,,,,,,1.91,
2012.05.14,NGS027,00na,,,,,,,,,,1.65,
2012.05.14,NGS028,00na,,,,,,,,,,1.29,
2012.05.14,NGS029,00na,,,,,,,,,,2.24,
2012.05.14,NGS030,00na,,,,,,,,,,2.49,
2012.05.14,NGS031,00na,,,,,,,,,,1.58,
2012.05.14,NGS032,00na,,,,,,,,,,3.47,
2012.05.14,NGS033,00na,,,,,,,,,,2.37,
2012.05.14,NGS034,00na,,,,,,,,,,0.55,
2012.05.14,NGS035,00na,,,,,,,,,,2.26,
2012.05.14,NGS036,00na,,,,,,,,,,3.32,
2012.05.14,NGS037,00na,,,,,,,,,,1.46,
2012.05.14,NGS038,00na,,,,,,,,,,0.44,
2012.05.14,NGS039,00na,,,,,,,,,,4.59,
2012.05.14,NGS040,00na,,,,,,,,,,1.67,
2012.05.14,NGS041,00na,,,,,,,,,,3.27,
2012.05.14,NGS042,00na,,,,,,,,,,2.41,
2012.05.14,NGS043,00na,,,,,,,,,,3.75,
2012.05.14,NGS044,00na,,,,,,,,,,0.63,
2012.05.14,NGS045,00na,,,,,,,,,,2.7,
2012.05.14,NGS046,00na,,,,,,,,,,3.52,
2012.05.14,NGS047,00na,,,,,,,,,,1.41,
2012.05.14,NGS048,00na,,,,,,,,,,3.29,
2012.05.14,NGS049,00na,,,,,,,,,,0.55,
2012.05.14,NGS050,00na,,,,,,,,,,1.3,
2012.05.14,NGS051,00na,,,,,,,,,,0,
2012.05.14,NGS052,00na,,,,,,,,,,4.37,
2012.05.14,NGS053,00na,,,,,,,,,,2.71,
2012.05.14,NGS054,00na,,,,,,,,,,6.23,
2012.05.14,NGS055,00na,,,,,,,,,,6.08,
2012.05.14,NGS056,00na,,,,,,,,,,2.44,
2012.05.14,NGS057,00na,,,,,,,,,,3.41,
2012.05.14,NGS058,00na,,,,,,,,,,1.98,
2012.05.14,NGS059,00na,,,,,,,,,,1.37,
2012.05.14,NGS060,00na,,,,,,,,,,2.64,
2012.05.14,NGS061,00na,,,,,,,,,,3.2,
2012.05.14,NGS062,00na,,,,,,,,,,2.41,
2012.05.14,NGS063,00na,,,,,,,,,,0.89,
2012.05.14,NGS064,00na,,,,,,,,,,1.46,
2012.05.14,NGS065,00na,,,,,,,,,,3.03,
2012.05.14,NGS066,00na,,,,,,,,,,1.49,
2012.05.14,NGS067,00na,,,,,,,,,,0.89,
2012.05.14,NGS068,00na,,,,,,,,,,1.12,
2012.05.14,NGS069,00na,,,,,,,,,,0.35,
2012.05.14,NGS070,00na,,,,,,,,,,1.53,
2012.05.14,NGS071,00na,,,,,,,,,,1.84,
2012.05.14,NGS072,00na,,,,,,,,,,2.74,
2012.05.14,NGS073,00na,,,,,,,,,,1.7,
2012.05.14,NGS074,00na,,,,,,,,,,0.76,
2012.05.14,NGS075,00na,,,,,,,,,,0.96,
2012.05.14,NGS076,00na,,,,,,,,,,0.69,
2012.05.14,NGS077,00na,,,,,,,,,,2.09,
2012.05.14,NGS078,00na,,,,,,,,,,1.15,
2012.05.14,NGS079,00na,,,,,,,,,,1.51,
2012.05.14,NGS080,00na,,,,,,,,,,4.24,
2012.05.14,NGS081,00na,,,,,,,,,,3.79,
2012.05.14,NGS082,00na,,,,,,,,,,4.95,
2012.05.14,NGS083,00na,,,,,,,,,,3.77,
2012.05.14,NGS084,00na,,,,,,,,,,2.66,
2012.05.14,NGS085,00na,,,,,,,,,,4.69,
2012.05.14,NGS086,00na,,,,,,,,,,2.48,
2012.05.14,NGS087,00na,,,,,,,,,,2.49,
2012.05.14,NGS088,00na,,,,,,,,,,1.28,
2012.05.14,NGS089,00na,,,,,,,,,,3.31,
2012.05.14,NGS090,00na,,,,,,,,,,2.75,
2012.05.28,NGS087,00na,1.42,1,1,0.87,1,,,,,0,
2012.05.28,NGS005,山石榴,,,,0.69,2,,,,,0,
2012.05.28,NGS074,劲直刺桐,,,,0.52,4,,,,,0,
2012.05.28,NGS016,赤苍藤,,,,0.94,1,,,,,0,
2012.05.28,NGS087,00na,,,,,,,,,,8.42,
2012.05.28,NGS001,00na,,,,,,,,,,3.36,
2012.05.28,NGS002,00na,,,,,,,,,,1.21,
2012.05.28,NGS003,00na,,,,,,,,,,14.85,
2012.05.28,NGS004,00na,,,,,,,,,,1.13,
2012.05.28,NGS005,00na,,,,,,,,,,3.08,
2012.05.28,NGS006,00na,,,,,,,,,,2.74,
2012.05.28,NGS007,00na,,,,,,,,,,9.38,
2012.05.28,NGS008,00na,,,,,,,,,,4.08,
2012.05.28,NGS009,00na,,,,,,,,,,3.51,
2012.05.28,NGS010,00na,,,,,,,,,                             ,3.85,
2012.05.28,NGS011,00na,,,,,,,,,,6.41,
2012.05.28,NGS012,00na,,,,,,,,,,4.78,
2012.05.28,NGS013,00na,,,,,,,,,,7.93,
2012.05.28,NGS014,00na,,,,,,,,,,6.46,
2012.05.28,NGS015,00na,,,,,,,,,,6.26,
2012.05.28,NGS016,00na,,,,,,,,,,5.22,
2012.05.28,NGS017,00na,,,,,,,,,,3.79,
2012.05.28,NGS018,00na,,,,,,,,,,4.91,
2012.05.28,NGS019,00na,,,,,,,,,,9.36,
2012.05.28,NGS020,00na,,,,,,,,,,4.11,
2012.05.28,NGS021,00na,,,,,,,,,,3.11,
2012.05.28,NGS022,00na,,,,,,,,,,6.45,
2012.05.28,NGS023,00na,,,,,,,,,,5.41,
2012.05.28,NGS024,00na,,,,,,,,,,4.49,
2012.05.28,NGS025,00na,,,,,,,,,,4,
2012.05.28,NGS026,00na,,,,,,,,,,4.1,
2012.05.28,NGS027,00na,,,,,,,,,,5.51,
2012.05.28,NGS028,00na,,,,,,,,,,2.15,
2012.05.28,NGS029,00na,,,,,,,,,,2.33,
2012.05.28,NGS030,00na,,,,,,,,,,2.05,
2012.05.28,NGS031,00na,,,,,,,,,,1.54,
2012.05.28,NGS032,00na,,,,,,,,,,2.96,
2012.05.28,NGS033,00na,,,,,,,,,,7.73,
2012.05.28,NGS034,00na,,,,,,,,,,2.82,
2012.05.28,NGS035,00na,,,,,,,,,,4.92,
2012.05.28,NGS036,00na,,,,,,,,,,3.93,
2012.05.28,NGS037,00na,,,,,,,,,,2.56,
2012.05.28,NGS038,00na,,,,,,,,,,3.76,
2012.05.28,NGS039,00na,,,,,,,,,,6.38,
2012.05.28,NGS040,00na,,,,,,,,,,4.52,
2012.05.28,NGS041,00na,,,,,,,,,,6.24,
2012.05.28,NGS042,00na,,,,,,,,,,2.95,
2012.05.28,NGS043,00na,,,,,,,,,,2.53,
2012.05.28,NGS044,00na,,,,,,,,,,3.09,
2012.05.28,NGS045,00na,,,,,,,,,,2.21,
2012.05.28,NGS046,00na,,,,,,,,,,5.68,
2012.05.28,NGS047,00na,,,,,,,,,,1.48,
2012.05.28,NGS048,00na,,,,,,,,,,5.04,
2012.05.28,NGS049,00na,,,,,,,,,,1.33,
2012.05.28,NGS050,00na,,,,,,,,,,8.45,
2012.05.28,NGS051,00na,,,,,,,,,,4.99,
2012.05.28,NGS052,00na,,,,,,,,,,20.68,
2012.05.28,NGS053,00na,,,,,,,,,,6.14,
2012.05.28,NGS054,00na,,,,,,,,,,25.78,
2012.05.28,NGS055,00na,,,,0.4,9,,,,,0,
2012.05.28,NGS056,00na,,,,,,,,,,7.03,
2012.05.28,NGS056,00na,,,,,,,,,,16.54,
2012.05.28,NGS056,00na,,,,0.13,4,0.01,1,,,0,
2012.05.28,NGS057,00na,,,,,,,,,,13.63,
2012.05.28,NGS058,00na,,,,,,,,,,10.97,
2012.05.28,NGS059,00na,,,,,,,,,,8.63,
2012.05.28,NGS060,00na,,,,,,,,,,15.4,
2012.05.28,NGS061,00na,,,,,,,,,,12.38,
2012.05.28,NGS062,00na,,,,,,,,,,13.39,
2012.05.28,NGS063,00na,,,,,,,,,,12.63,
2012.05.28,NGS064,00na,,,,,,,,,,10.78,
2012.05.28,NGS065,00na,,,,,,,,,,14.84,
2012.05.28,NGS066,00na,,,,,,,,,,7.41,
2012.05.28,NGS067,00na,,,,,,,,,,6.81,
2012.05.28,NGS068,00na,,,,,,,,,,4.56,
2012.05.28,NGS069,00na,,,,,,,,,,3.59,
2012.05.28,NGS070,00na,,,,,,,,,,6.41,
2012.05.28,NGS071,00na,,,,,,,,,,6.71,
2012.05.28,NGS071,00na,,,,0.3,1,,,,,0,
2012.05.28,NGS072,00na,,,,,,,,,,14.53,
2012.05.28,NGS073,00na,,,,,,,,,,6.74,
2012.05.28,NGS074,00na,,,,,,,,,,2.65,
2012.05.28,NGS075,00na,,,,,,,,,,9,
2012.05.28,NGS076,00na,,,,,,,,,,8.58,
2012.05.28,NGS077,00na,,,,,,,,,,7.12,
2012.05.28,NGS078,00na,,,,,,,,,,6.47,
2012.05.28,NGS078,00na,,,,0.7,,,,,,0,
2012.05.28,NGS079,00na,,,,,,,,,,12.56,
2012.05.28,NGS080,00na,,,,,,,,,,29.97,
2012.05.28,NGS081,00na,,,,,,,,,,17.9,
2012.05.28,NGS082,00na,,,,,,,,,,17.23,
2012.05.28,NGS083,00na,,,,,,,,,,17,
2012.05.28,NGS084,00na,,,,,,,,,,9.67,
2012.05.28,NGS085,00na,,,,,,,,,,8.6,
2012.05.28,NGS086,00na,,,,,,,,,,8.24,
2012.05.28,NGS088,00na,,,,,,,,,,7.7,
2012.05.28,NGS089,00na,,,,,,,,,,12.46,
2012.05.28,NGS090,00na,,,,,,,,,,18.35,
2012.06.12,NGS084,00na,,, ,,,,,,,1.68,
2012.06.12,NGS084,石山巴豆,0.97,1,4,0.21,8,0.06,3,,,0,
2012.06.12,NGS005,山石榴,,,,0.75,2,,,,,0,
2012.06.12,NGS055,黄梨木,,,,0.01,5,,,1.36,,0,
2012.06.12,NGS056,黄梨木,,,,0.06,31,0.03,36,6.03,,0,
2012.06.12,NGS044,广西牡荆,,,,0.32,13,,,,,0,
2012.06.12,NGS001,00na,,,,,,,,,,5.4,
2012.06.12,NGS002,00na,,,,,,,,,,1.12,
2012.06.12,NGS003,00na,,,,,,,,,,12.24,
2012.06.12,NGS004,00na,,,,,,,,,,1.88,
2012.06.12,NGS005,00na,,,,,,,,,,2.92,
2012.06.12,NGS006,00na,,,,,,,,,,1.09,
2012.06.12,NGS007,00na,,,,,,,,,,5.6,
2012.06.12,NGS008,00na,,,,,,,,,,5.62,
2012.06.12,NGS009,00na,,,,,,,,,,3.12,
2012.06.12,NGS010,00na,,,,,,,,,,2.6,
2012.06.12,NGS011,00na,,,,,,,,,,1.4,
2012.06.12,NGS012,00na,,,,,,,,,,10.18,
2012.06.12,NGS013,00na,,,,,,,,,,8.77,
2012.06.12,NGS014,00na,,,,,,,,,,6.84,
2012.06.12,NGS015,00na,,,,,,,,,,10.72,
2012.06.12,NGS016,00na,,,,,,,,,,8.28,
2012.06.12,NGS017,00na,,,,,,,,,,6.43,
2012.06.12,NGS018,00na,,,,,,,,,,3.59,
2012.06.12,NGS019,00na,,,,,,,,,,9.51,
2012.06.12,NGS020,00na,,,,,,,,,,3.94,
2012.06.12,NGS021,00na,,,,,,,,,,3.98,
2012.06.12,NGS022,00na,,,,,,,,,,8.27,
2012.06.12,NGS023,00na,,,,,,,,,,6.96,
2012.06.12,NGS024,00na,,,,,,,,,,5.57,
2012.06.12,NGS025,00na,,,,,,,,,,4.64,
2012.06.12,NGS026,00na,,,,,,,,,,7.03,
2012.06.12,NGS027,00na,,,,,,,,,,4.22,
2012.06.12,NGS028,00na,,,,,,,,,,4.79,
2012.06.12,NGS029,00na,,,,,,,,,,6.68,
2012.06.12,NGS030,00na,,,,,,,,,,4.96,
2012.06.12,NGS030,00na,,,,0.27,3,,,,,0,
2012.06.12,NGS031,00na,,,,,,,,,,1.28,
2012.06.12,NGS032,00na,,,,,,,,,,3.52,
2012.06.12,NGS033,00na,,,,,,,,,,3.48,
2012.06.12,NGS034,00na,,,,,,,,,,4.01,
2012.06.12,NGS035,00na,,,,,,,,,,3.59,
2012.06.12,NGS036,00na,,,,,,,,,,3.07,
2012.06.12,NGS037,00na,,,,,,,,,,4.04,
2012.06.12,NGS038,00na,,,,,,,,,,4.02,
2012.06.12,NGS039,00na,,,,,,,,,,5.08,
2012.06.12,NGS040,00na,,,,,,,,,,4.59,
2012.06.12,NGS041,00na,,,,,,,,,,8.08,
2012.06.12,NGS042,00na,,,,,,,,,,5.85,
2012.06.12,NGS043,00na,,,,,,,,,,3.26,
2012.06.12,NGS044,00na,,,,,,,,,,1.86,
2012.06.12,NGS045,00na,,,,,,,,,,6.88,
2012.06.12,NGS046,00na,,,,,,,,,,6.24,
2012.06.12,NGS047,00na,,,,,,,,,,4.15,
2012.06.12,NGS048,00na,,,,,,,,,,1.89,
2012.06.12,NGS049,00na,,,,,,,,,,2.3,
2012.06.12,NGS050,00na,,,,,,,,,,5.02,
2012.06.12,NGS051,00na,,,,,,,,,,5.17,
2012.06.12,NGS052,00na,,,,,,,,,,9.4,
2012.06.12,NGS053,00na,,,,,,,,,,3.08,
2012.06.12,NGS053,00na,,,,0.13,,,,,,0,
2012.06.12,NGS054,00na,,,,,,,,,,8.87,
2012.06.12,NGS054,00na,,,,0.15,,,,,,0,
2012.06.12,NGS055,00na,,,,,,,,,,3.78,
2012.06.12,NGS056,00na,,,,,,,,,,4.29,
2012.06.12,NGS057,00na,,,,,,,,,,6.41,
2012.06.12,NGS058,00na,,,,,,,,,,2.47,
2012.06.12,NGS059,00na,,,,,,,,,,4.54,
2012.06.12,NGS060,00na,,,,,,,,,,8.35,
2012.06.12,NGS061,00na,,,,,,,,,,10.66,
2012.06.12,NGS062,00na,,,,,,,,,,10.99,
2012.06.12,NGS063,00na,,,,,,,,,,8.29,
2012.06.12,NGS064,00na,,,,,,,,,,7.39,
2012.06.12,NGS065,00na,,,,,,,,,,8.03,
2012.06.12,NGS066,00na,,,,,,,,,,4.48,
2012.06.12,NGS067,00na,,,,,,,,,,6.08,
2012.06.12,NGS068,00na,,,,,,,,,,5.32,
2012.06.12,NGS069,00na,,,,,,,,,,10.29,
2012.06.12,NGS070,00na,,,,,,,,,,3.3,
2012.06.12,NGS071,00na,,,,,,,,,,8.35,
2012.06.12,NGS072,00na,,,,,,,,,,3.75,
2012.06.12,NGS073,00na,,,,,,,,,,2.19,
2012.06.12,NGS074,00na,,,,,,,,,,2.81,
2012.06.12,NGS075,00na,,,,,,,,,,4.72,
2012.06.12,NGS076,00na,,,,,,,,,,4.75,
2012.06.12,NGS077,00na,,,,,,,,,,4.22,
2012.06.12,NGS078,00na,,,,,,,,,,2.66,
2012.06.12,NGS079,00na,,,,,,,,,,5.91,
2012.06.12,NGS080,00na,,,,,,,,,,7.5,
2012.06.12,NGS081,00na,,,,,,,,,,10.36,
2012.06.12,NGS082,00na,,,,,,,,,,6.02,
2012.06.12,NGS083,00na,,,,,,,,,,12.83,
2012.06.12,NGS085,00na,,,,,,,,,,3.83,
2012.06.12,NGS086,00na,,,,,,,,,,6.65,
2012.06.12,NGS087,00na,,,,,,,,,,7.89,
2012.06.12,NGS088,00na,,,,,,,,,,3.66,
2012.06.12,NGS089,00na,,,,,,,,,,7.11,
2012.06.12,NGS090,00na,,,,,,,,,,12.11,
2012.06.20,NGS045,龙舌腾,,,,0.03,1,,,,,0,
2012.06.20,NGS055,黄梨木,,,,0.03,6,0.01,4,1.79,,0,
2012.06.20,NGS056,黄梨木,,,,0.09,23,0.09,33,2.67,,0,
2012.06.20,NGS005,广西牡荆,,,,0.16,2,,,0.11,,0,
2012.06.20,NGS007,广西牡荆,,,,0.25,4,,,,,0,
2012.06.20,NGS040,广西牡荆,,,,0.35,4,,,,,0,
2012.06.20,NGS044,广西牡荆,,,,1.19,17,,,,,0,
2012.06.20,NGS071,广西牡荆,,,,0.25,4,,,0.1,,0,
2012.06.20,NGS005,未知,,,,1.54,4,,,,,0,
2012.06.20,NGS005,未知,,,,0.11,1,,,,,0,
2012.06.20,NGS001,00na,,,,,,,,,,3.71,
2012.06.20,NGS002,00na,,,,,,,,,,2.99,
2012.06.20,NGS003,00na,,,,,,,,,,11.76,
2012.06.20,NGS004,00na,,,,,,,,,,1.63,
2012.06.20,NGS005,00na,,,,,,,,,,4.43,
2012.06.20,NGS006,00na,,,,,,,,,,2.1,
2012.06.20,NGS007,00na,,,,,,,,,,9.6,
2012.06.20,NGS008,00na,,,,,,,,,,6.22,
2012.06.20,NGS009,00na,,,,,,,,,,2.43,
2012.06.20,NGS010,00na,,,,,,,,,,1.76,
2012.06.20,NGS011,00na,,,,,,,,,,4.77,
2012.06.20,NGS012,00na,,,,,,,,,,3.98,
2012.06.20,NGS013,00na,,,,,,,,,,6.23,
2012.06.20,NGS014,00na,,,,,,,,,,10.81,
2012.06.20,NGS015,00na,,,,,,,,,,5.57,
2012.06.20,NGS016,00na,,,,,,,,,,8.14,
2012.06.20,NGS017,00na,,,,,,,,,,9.56,
2012.06.20,NGS018,00na,,,,,,,,,,3.83,
2012.06.20,NGS019,00na,,,,,,,,,,8.35,
2012.06.20,NGS020,00na,,,,,,,,,,3.78,
2012.06.20,NGS021,00na,,,,,,,,,,5.4,
2012.06.20,NGS022,00na,,,,,,,,,,7.58,
2012.06.20,NGS023,00na,,,,,,,,,,11.65,
2012.06.20,NGS024,00na,,,,,,,,,,7.65,
2012.06.20,NGS025,00na,,,,,,,,,,3.76,
2012.06.20,NGS026,00na,,,,,,,,,,8.93,
2012.06.20,NGS027,00na,,,,,,,,,,5.27,
2012.06.20,NGS028,00na,,,,,,,,,,4.23,
2012.06.20,NGS029,00na,,,,,,,,,,9.22,
2012.06.20,NGS030,00na,,,,,,,,,,3.53,
2012.06.20,NGS031,00na,,,,,,,,,,3.63,
2012.06.20,NGS032,00na,,,,,,,,,,3.22,
2012.06.20,NGS033,00na,,,,,,,,,,3.49,
2012.06.20,NGS034,00na,,,,,,,,,,5.79,
2012.06.20,NGS035,00na,,,,,,,,,,3.25,
2012.06.20,NGS036,00na,,,,,,,,,,2.55,
2012.06.20,NGS037,00na,,,,,,,,,,5.29,
2012.06.20,NGS038,00na,,,,,,,,,,3.25,
2012.06.20,NGS039,00na,,,,,,,,,,4.75,
2012.06.20,NGS040,00na,,,,,,,,,,6.3,
2012.06.20,NGS041,00na,,,,,,,,,,8.93,
2012.06.20,NGS042,00na,,,,,,,,,,5.49,
2012.06.20,NGS043,00na,,,,,,,,,,4.4,
2012.06.20,NGS044,00na,,,,,,,,,,2.87,
2012.06.20,NGS045,00na,,,,,,,,,,9.91,
2012.06.20,NGS046,00na,,,,,,,,,,9.87,
2012.06.20,NGS047,00na,,,,,,,,,,2.67,
2012.06.20,NGS048,00na,,,,,,,,,,2.77,
2012.06.20,NGS049,00na,,,,,,,,,,1.93,
2012.06.20,NGS050,00na,,,,,,,,,,6.49,
2012.06.20,NGS051,00na,,,,,,,,,,4.01,
2012.06.20,NGS052,00na,,,,,,,,,,5.03,
2012.06.20,NGS053,00na,,,,,,,,,,4.23,
2012.06.20,NGS054,00na,,,,,,,,,,8.32,
2012.06.20,NGS055,00na,,,,,,,,,,6.6,
2012.06.20,NGS056,00na,,,,,,,,,,9.55,
2012.06.20,NGS057,00na,,,,,,,,,,4.78,
2012.06.20,NGS058,00na,,,,,,,,,,5.12,
2012.06.20,NGS059,00na,,,,,,,,,,4.24,
2012.06.20,NGS060,00na,,,,,,,,,,11.8,
2012.06.20,NGS061,00na,,,,,,,,,,11.46,
2012.06.20,NGS062,00na,,,,,,,,,,11.55,
2012.06.20,NGS063,00na,,,,,,,,,,7.57,
2012.06.20,NGS064,00na,,,,,,,,,,8.09,
2012.06.20,NGS065,00na,,,,,,,,,,10.43,
2012.06.20,NGS066,00na,,,,,,,,,,7.27,
2012.06.20,NGS067,00na,,,,,,,,,,8.22,
2012.06.20,NGS068,00na,,,,,,,,,,7.33,
2012.06.20,NGS069,00na,,,,,,,,,,9.27,
2012.06.20,NGS070,00na,,,,,,,,,,2.58,
2012.06.20,NGS071,00na,,,,,,,,,,7.71,
2012.06.20,NGS072,00na,,,,,,,,,,5.31,
2012.06.20,NGS073,00na,,,,,,,,,,6.79,
2012.06.20,NGS074,00na,,,,,,,,,,5.98,
2012.06.20,NGS075,00na,,,,,,,,,,20.07,
2012.06.20,NGS076,00na,,,,,,,,,,5.89,
2012.06.20,NGS077,00na,,,,,,,,,,5.53,
2012.06.20,NGS078,00na,,,,,,,,,,3.33,
2012.06.20,NGS079,00na,,,,,,,,,,16,
2012.06.20,NGS080,00na,,,,,,,,,,18.28,
2012.06.20,NGS081,00na,,,,,,,,,,9.7,
2012.06.20,NGS082,00na,,,,,,,,,,11.67,
2012.06.20,NGS083,00na,,,,,,,,,,6.14,
2012.06.20,NGS084,00na,,,,,,,,,,8.55,
2012.06.20,NGS085,00na,,,,,,,,,,8.4,
2012.06.20,NGS086,00na,,,,,,,,,,5.24,
2012.06.20,NGS087,00na,,,,,,,,,,6.9,
2012.06.20,NGS088,00na,,,,,,,,,,11.48,
2012.06.20,NGS089,00na,,,,,,,,,,12.92,
2012.06.20,NGS090,00na,,,,,,,,,,0,
2012.06.28,NGS005,大叶水榕,,,,,,,,,,1.14,
2012.06.28,NGS040,大叶水榕,,,,,,,,,,0.99,
2012.06.28,NGS044,广西牡荆,0.78,1,,0.07,1,0.68,7,,,0,
2012.06.28,NGS037,广西牡荆,0.49,1,,0.46,1,,,,,0,
2012.06.28,NGS019,00na,0.49,1,,0.22,1,,,,,4.32,
2012.06.28,NGS071,广西牡荆,0.35,1,,0.34,1,,,,,0,
2012.06.28,NGS066,00na,0.14,1,,0.14,1,,,,,0,
2012.06.28,NGS014,中国无忧花,,,,,,,,,,2.64,
2012.06.28,NGS028,长花龙吐珠,,,,,,,,,,0.35,
2012.06.28,NGS053,云南野桐,,,,,,,,,,0.05,
2012.06.28,NGS050,圆叶乌桕,,,,,,,,,,0.31,
2012.06.28,NGS075,羽叶白头树,,,,,,,,,,0.9,
2012.06.28,NGS051,鱼骨木,,,,,,,,,,0.61,
2012.06.28,NGS052,鱼骨木,,,,,,,,,,1.07,
2012.06.28,NGS053,鱼骨木,,,,,,,,,,3.21,
2012.06.28,NGS055,鱼骨木,,,,,,,,,,1.83,
2012.06.28,NGS059,鱼骨木,,,,,,,,,,0.45,
2012.06.28,NGS077,鱼骨木,,,,,,,,,,0.39,
2012.06.28,NGS004,蚬木,,,,,,,,,,1.18,
2012.06.28,NGS058,蚬木,,,,,,,,,,3.51,
2012.06.28,NGS078,蚬木,,,,,,,,,,0.67,
2012.06.28,NGS081,蚬木,,,,,,,,,,2.7,
2012.06.28,NGS086,蚬木,,,,,,,,,,0.68,
2012.06.28,NGS078,细子龙,,,,,,,,,,1.32,
2012.06.28,NGS060,斜叶榕,,,,,,,,,,2.17,
2012.06.28,NGS065,斜叶榕,,,,,,,,,,0.29,
2012.06.28,NGS077,细叶黄皮,,,,,,,,,,0.69,
2012.06.28,NGS052,细叶谷木,,,,,,,,,,6.14,
2012.06.28,NGS053,细叶谷木,,,,,,,,,,0.17,
2012.06.28,NGS059,细叶谷木,,,,,,,,,,0.78,
2012.06.28,NGS074,细叶谷木,,,,,,,,,,0.43,
2012.06.28,NGS065,网脉核果木,,,,,,,,,,0.25,
2012.06.28,NGS067,网脉核果木,,,,,,,,,,0.27,
2012.06.28,NGS056,网脉核果木,,,,,,,,,,0.82,
2012.06.28,NGS072,网脉核果木,,,,,,,,,,0.6,
2012.06.28,NGS002,藤,,,,,,,,,,0.94,
2012.06.28,NGS003,藤,,,,,,,,,,3.31,
2012.06.28,NGS004,藤,,,,,,,,,,0.84,
2012.06.28,NGS010,藤,,,,,,,,,,0.68,
2012.06.28,NGS014,藤,,,,,,,,,,0.43,
2012.06.28,NGS068,水冬瓜,,,,,,,,,,0.4,
2012.06.28,NGS073,石山榕,,,,,,,,,,0.78,
2012.06.28,NGS051,石密,,,,,,,,,,0.47,
2012.06.28,NGS054,石密,,,,,,,,,,0.26,
2012.06.28,NGS082,石密,,,,,,,,,,0.87,
2012.06.28,NGS050,山榄叶柿,,,,,,,,,,0.9,
2012.06.28,NGS082,山榄叶柿,,,,,,,,,,0.66,
2012.06.28,NGS083,山榄叶柿,,,,,,,,,,1,
2012.06.28,NGS051,桑枝米碎木,,,,,,,,,,1.07,
2012.06.28,NGS054,桑枝米碎木,,,,,,,,,,1.66,
2012.06.28,NGS055,桑枝米碎木,,,,,,,,,,0.69,
2012.06.28,NGS012,日本五月茶,,,,,,,,,,0.41,
2012.06.28,NGS042,青叶苎麻,,,,,,,,,,0.18,
2012.06.28,NGS046,青叶苎麻,,,,,,,,,,0.21,
2012.06.28,NGS007,苹婆,,,,,,,,,,0.83,
2012.06.28,NGS008,苹婆,,,,,,,,,,0.98,
2012.06.28,NGS009,苹婆,,,,,,,,,,0.96,
2012.06.28,NGS010,苹婆,,,,,,,,,,1.21,
2012.06.28,NGS011,苹婆,,,,,,,,,,2.87,
2012.06.28,NGS013,苹婆,,,,,,,,,,0.73,
2012.06.28,NGS018,苹婆,,,,,,,,,,0.95,
2012.06.28,NGS019,苹婆,,,,,,,,,,0.84,
2012.06.28,NGS020,苹婆,,,,,,,,,,2.33,
2012.06.28,NGS024,苹婆,,,,,,,,,,0.4,
2012.06.28,NGS027,苹婆,,,,,,,,,,2.25,
2012.06.28,NGS036,苹婆,,,,,,,,,,0.83,
2012.06.28,NGS037,苹婆,,,,,,,,,,1.09,
2012.06.28,NGS041,苹婆,,,,,,,,,,2.2,
2012.06.28,NGS043,苹婆,,,,,,,,,,0.32,
2012.06.28,NGS044,苹婆,,,,,,,,,,0.92,
2012.06.28,NGS066,苹婆,,,,,,,,,,1.1,
2012.06.28,NGS073,苹婆,,,,,,,,,,1.99,
2012.06.28,NGS074,苹婆,,,,,,,,,,2.79,
2012.06.28,NGS077,南方紫金牛,,,,,,,,,,0.33,
2012.06.28,NGS038,米仔兰,,,,,,,,,,12.01,
2012.06.28,NGS042,米仔兰,,,,,,,,,,0.44,
2012.06.28,NGS073,米扬噎,,,,,,,,,,0.7,
2012.06.28,NGS080,米扬噎,,,,,,,,,,0.8,
